coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
35.0,50.0,0,,
36.0878026201,40.0593417995,9.99999999997322,35.0,50.0
36.7409528356,31.732001287,18.35291597076638,36.0878026201,40.0593417995
39.8590530625,22.424125465,28.169183150441455,36.7409528356,31.732001287
38.8312487171,22.9513632537,27.378930658548043,36.7409528356,31.732001287
39.5996101174,19.7549067624,30.666439341767735,38.8312487171,22.9513632537
42.5501524966,10.3281208556,40.5441917614277,39.5996101174,19.7549067624
41.6701545873,11.6296187972,39.05139366002478,39.5996101174,19.7549067624
41.5651744723,5.7990656204,44.882891852774044,41.6701545873,11.6296187972
41.239547112,0.9675109641,49.72540706437536,41.5651744723,5.7990656204
38.8543698181,12.5018862847,37.9576456311026,39.5996101174,19.7549067624
39.4003262169,7.6583981692,42.83180663730463,38.8543698181,12.5018862847
39.848659253,0.9909588717,49.514302375956916,39.4003262169,7.6583981692
41.8722314232,13.2559343533,37.55131043524648,39.5996101174,19.7549067624
43.3359578694,7.6705348498,43.32531967692624,41.8722314232,13.2559343533
42.7498899184,6.7110174383,44.1548111627735,41.8722314232,13.2559343533
43.6145922511,-0.5806415395,51.49756274325804,42.7498899184,6.7110174383
44.1356281493,0.1386756012,50.87165176444575,42.7498899184,6.7110174383
37.2335781513,29.8406760399,20.3073445041199,36.7409528356,31.732001287
37.6036050783,26.1004905361,24.050115478361107,36.7409528356,31.732001287
38.2458916255,19.1091855341,31.070861709332878,37.6036050783,26.1004905361
37.5123906044,20.2452216636,29.906094785831062,37.6036050783,26.1004905361
38.6002286321,18.8421808273,31.376527856657134,37.6036050783,26.1004905361
37.4002373632,12.3256625657,38.00261186602515,38.6002286321,18.8421808273
40.684167549,32.718817877,18.660823402884553,36.0878026201,40.0593417995
44.8805688833,51.5408953702,9.999999999977,35.0,50.0
45.7011568955,51.4517773633,10.825413051073342,44.8805688833,51.5408953702
50.3779887316,51.4855000477,15.497698939555054,44.8805688833,51.5408953702
54.197414739,52.2118628483,19.340975005592966,44.8805688833,51.5408953702
63.2630578915,52.8552786752,28.429422050868382,54.197414739,52.2118628483
62.3907124122,53.127692018,27.585298496925528,54.197414739,52.2118628483
70.8383990979,54.346060845,36.12039269314611,62.3907124122,53.127692018
77.0405268776,54.6488242773,42.32990593426772,70.8383990979,54.346060845
81.6832042064,54.8189460675,46.9756991068976,77.0405268776,54.6488242773
89.7282253195,56.5147548042,55.197507422693626,81.6832042064,54.8189460675
97.9839442592,55.6036959245,63.50334413512673,89.7282253195,56.5147548042
101.6841656349,55.1717190656,67.22869542538277,97.9839442592,55.6036959245
97.9610127829,56.2119880363,63.435860239444125,89.7282253195,56.5147548042
94.5465283658,57.548966171,60.12555342463011,89.7282253195,56.5147548042
98.5776375334,56.6420156632,64.04783464024642,89.7282253195,56.5147548042
103.9021240907,56.2745224076,69.38498822542456,98.5776375334,56.6420156632
91.7209420691,56.4745149272,57.19063042236961,89.7282253195,56.5147548042
100.5442190746,55.939986081,66.03008392375784,91.7209420691,56.4745149272
103.7366806177,55.3626500321,69.27432923161173,100.5442190746,55.939986081
96.2834294907,57.0423332261,61.77390770836453,89.7282253195,56.5147548042
102.0560647252,57.5664063177,67.5702833135104,96.2834294907,57.0423332261
85.5365733767,54.5772485152,50.826253926469406,77.0405268776,54.6488242773
94.7419348898,54.1790217733,60.04022511835117,85.5365733767,54.5772485152
96.5835500452,54.3147134281,61.88683244146599,94.7419348898,54.1790217733
102.9742204607,55.770509845,68.42493501215259,94.7419348898,54.1790217733
66.0335344133,53.8524692287,31.299521718118392,62.3907124122,53.127692018
48.930179887,52.01330346,14.077072317780134,44.8805688833,51.5408953702
57.2932006248,53.862643675,22.64212778121346,48.930179887,52.01330346
66.6760117455,54.9801083358,32.091247941041495,57.2932006248,53.862643675
63.206696642,54.3575766361,28.576299482590446,57.2932006248,53.862643675
69.4360975218,54.9259754593,34.8315782568313,63.206696642,54.3575766361
70.2095735072,55.0686093694,35.61518092334349,63.206696642,54.3575766361
79.7845173821,56.7130254876,45.33030596511629,70.2095735072,55.0686093694
87.1288497417,56.3805159868,52.682161538805815,79.7845173821,56.7130254876
66.8732420956,55.3312341756,32.33408076503981,57.2932006248,53.862643675
54.3159453576,51.7743001634,19.43826292327293,44.8805688833,51.5408953702
48.1871513379,51.86885098,13.322806405873653,44.8805688833,51.5408953702
28.2820452938,57.4073669117,9.999999999955138,35.0,50.0
26.1485517429,60.8941583329,14.087726647700284,28.2820452938,57.4073669117
27.1596975036,51.7816191735,8.040180975229282,35.0,50.0
35.1524831898,53.5384169807,3.541700982928638,35.0,50.0
35.7439689059,57.5388743374,7.575494439840503,35.0,50.0
35.6975420308,65.800833457,15.837584002939721,35.7439689059,57.5388743374
35.3934866742,68.3646011235,18.419318750675824,35.6975420308,65.800833457
36.5153784785,74.1523016251,24.229000868879233,35.6975420308,65.800833457
35.9746335033,69.6160895347,19.6628890394772,35.6975420308,65.800833457
29.0227285386,55.6206434472,8.204840454501186,35.0,50.0
26.458292643,58.473976367,12.041224196237163,29.0227285386,55.6206434472
21.0506528619,64.8955074032,20.43637927824816,26.458292643,58.473976367
16.9814983943,68.7365784883,26.032078087331826,21.0506528619,64.8955074032
9.5773409525,75.3268931786,35.94438332577896,16.9814983943,68.7365784883
10.7792382327,75.8434132768,35.46474111657253,16.9814983943,68.7365784883
4.6526740922,81.342845862,43.69751385282731,10.7792382327,75.8434132768
-0.6389412073,86.1855722922,50.870601873732966,4.6526740922,81.342845862
0.1503371972,86.4872301273,50.53386719252124,4.6526740922,81.342845862
